,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,X,2,2
1,,,X,,,,,,,O,0,0
2,O,,X,,,,,,,X,2,5
3,O,,X,,,X,,,,O,0,7
4,O,,X,,,X,,O,,X,2,8
5,,,,,,,,,,X,2,6
6,,,,,,,X,,,O,0,0
7,O,,,,,,X,,,X,2,2
8,O,,X,,,,X,,,O,0,8
9,O,,X,,,,X,,O,X,2,4
10,,,,,,,,,,X,2,7
11,,,,,,,,X,,O,0,5
12,,,,,,O,,X,,X,2,3
13,,,,X,,O,,X,,O,0,2
14,,,O,X,,O,,X,,X,2,6
15,,,O,X,,O,X,X,,O,0,0
16,O,,O,X,,O,X,X,,X,2,8
17,,,,,,,,,,X,2,5
18,,,,,,X,,,,O,0,8
19,,,,,,X,,,O,X,2,1
20,,X,,,,X,,,O,O,0,3
21,,X,,O,,X,,,O,X,2,6
22,,X,,O,,X,X,,O,O,0,7
23,,X,,O,,X,X,O,O,X,2,0
24,X,X,,O,,X,X,O,O,O,0,4
25,X,X,,O,O,X,X,O,O,X,2,2
26,,,,,,,,,,X,1,2
27,,,X,,,,,,,O,1,0
28,O,,X,,,,,,,X,1,7
29,O,,X,,,,,X,,O,1,5
30,O,,X,,,O,,X,,X,1,1
31,O,X,X,,,O,,X,,O,1,8
32,O,X,X,,,O,,X,O,X,1,3
33,O,X,X,X,,O,,X,O,O,1,4
34,O,X,X,X,O,O,,X,O,X,1,6
35,,,,,,,,,,X,2,2
36,,,X,,,,,,,O,0,7
37,,,X,,,,,O,,X,2,3
38,,,X,X,,,,O,,O,0,5
39,,,X,X,,O,,O,,X,2,1
40,,X,X,X,,O,,O,,O,0,0
41,O,X,X,X,,O,,O,,X,2,6
42,O,X,X,X,,O,X,O,,O,0,8
43,O,X,X,X,,O,X,O,O,X,2,4
44,,,,,,,,,,X,1,7
45,,,,,,,,X,,O,1,6
46,,,,,,,O,X,,X,1,2
47,,,X,,,,O,X,,O,1,5
48,,,X,,,O,O,X,,X,1,3
49,,,X,X,,O,O,X,,O,1,1
50,,O,X,X,,O,O,X,,X,1,0
51,X,O,X,X,,O,O,X,,O,1,8
52,X,O,X,X,,O,O,X,O,X,1,4
53,,,,,,,,,,X,2,2
54,,,X,,,,,,,O,0,5
55,,,X,,,O,,,,X,2,7
56,,,X,,,O,,X,,O,0,0
57,O,,X,,,O,,X,,X,2,8
58,O,,X,,,O,,X,X,O,0,1
59,O,O,X,,,O,,X,X,X,2,6
60,,,,,,,,,,X,2,3
61,,,,X,,,,,,O,0,2
62,,,O,X,,,,,,X,2,8
63,,,O,X,,,,,X,O,0,0
64,O,,O,X,,,,,X,X,2,6
65,O,,O,X,,,X,,X,O,0,5
66,O,,O,X,,O,X,,X,X,2,7
67,,,,,,,,,,X,2,2
68,,,X,,,,,,,O,0,0
69,O,,X,,,,,,,X,2,8
70,O,,X,,,,,,X,O,0,7
71,O,,X,,,,,O,X,X,2,5
72,,,,,,,,,,X,2,8
73,,,,,,,,,X,O,0,4
74,,,,,O,,,,X,X,2,1
75,,X,,,O,,,,X,O,0,3
76,,X,,O,O,,,,X,X,2,5
77,,X,,O,O,X,,,X,O,0,6
78,,X,,O,O,X,O,,X,X,2,2
79,,,,,,,,,,X,2,8
80,,,,,,,,,X,O,0,0
81,O,,,,,,,,X,X,2,2
82,O,,X,,,,,,X,O,0,7
83,O,,X,,,,,O,X,X,2,4
84,O,,X,,X,,,O,X,O,0,6
85,O,,X,,X,,O,O,X,X,2,5
86,,,,,,,,,,X,1,8
87,,,,,,,,,X,O,1,0
88,O,,,,,,,,X,X,1,1
89,O,X,,,,,,,X,O,1,2
90,O,X,O,,,,,,X,X,1,3
91,O,X,O,X,,,,,X,O,1,6
92,O,X,O,X,,,O,,X,X,1,5
93,O,X,O,X,,X,O,,X,O,1,4
94,O,X,O,X,O,X,O,,X,X,1,7
95,,,,,,,,,,X,2,3
96,,,,X,,,,,,O,0,6
97,,,,X,,,O,,,X,2,7
98,,,,X,,,O,X,,O,0,5
99,,,,X,,O,O,X,,X,2,1
100,,X,,X,,O,O,X,,O,0,0
101,O,X,,X,,O,O,X,,X,2,2
102,O,X,X,X,,O,O,X,,O,0,8
103,O,X,X,X,,O,O,X,O,X,2,4
104,,,,,,,,,,X,0,1
105,,X,,,,,,,,O,2,0
106,O,X,,,,,,,,X,0,5
107,O,X,,,,X,,,,O,2,3
108,O,X,,O,,X,,,,X,0,7
109,O,X,,O,,X,,X,,O,2,6
110,,,,,,,,,,X,1,0
111,X,,,,,,,,,O,1,7
112,X,,,,,,,O,,X,1,6
113,X,,,,,,X,O,,O,1,2
114,X,,O,,,,X,O,,X,1,5
115,X,,O,,,X,X,O,,O,1,4
116,X,,O,,O,X,X,O,,X,1,1
117,X,X,O,,O,X,X,O,,O,1,3
118,X,X,O,O,O,X,X,O,,X,1,8
119,,,,,,,,,,X,0,7
120,,,,,,,,X,,O,2,1
121,,O,,,,,,X,,X,0,8
122,,O,,,,,,X,X,O,2,6
123,,O,,,,,O,X,X,X,0,5
124,,O,,,,X,O,X,X,O,2,2
125,,O,O,,,X,O,X,X,X,0,4
126,,O,O,,X,X,O,X,X,O,2,0
127,,,,,,,,,,X,2,4
128,,,,,X,,,,,O,0,3
129,,,,O,X,,,,,X,2,0
130,X,,,O,X,,,,,O,0,6
131,X,,,O,X,,O,,,X,2,2
132,X,,X,O,X,,O,,,O,0,5
133,X,,X,O,X,O,O,,,X,2,1
134,,,,,,,,,,X,0,6
135,,,,,,,X,,,O,2,7
136,,,,,,,X,O,,X,0,0
137,X,,,,,,X,O,,O,2,1
138,X,O,,,,,X,O,,X,0,5
139,X,O,,,,X,X,O,,O,2,4
140,,,,,,,,,,X,2,8
141,,,,,,,,,X,O,0,7
142,,,,,,,,O,X,X,2,3
143,,,,X,,,,O,X,O,0,6
144,,,,X,,,O,O,X,X,2,4
145,,,,X,X,,O,O,X,O,0,2
146,,,O,X,X,,O,O,X,X,2,1
147,,X,O,X,X,,O,O,X,O,0,5
148,,X,O,X,X,O,O,O,X,X,2,0
149,,,,,,,,,,X,2,4
150,,,,,X,,,,,O,0,6
151,,,,,X,,O,,,X,2,7
152,,,,,X,,O,X,,O,0,3
153,,,,O,X,,O,X,,X,2,5
154,,,,O,X,X,O,X,,O,0,8
155,,,,O,X,X,O,X,O,X,2,1
156,,,,,,,,,,X,2,3
157,,,,X,,,,,,O,0,7
158,,,,X,,,,O,,X,2,4
159,,,,X,X,,,O,,O,0,8
160,,,,X,X,,,O,O,X,2,2
161,,,X,X,X,,,O,O,O,0,5
162,,,X,X,X,O,,O,O,X,2,1
163,,X,X,X,X,O,,O,O,O,0,0
164,O,X,X,X,X,O,,O,O,X,2,6
165,,,,,,,,,,X,2,8
166,,,,,,,,,X,O,0,2
167,,,O,,,,,,X,X,2,4
168,,,O,,X,,,,X,O,0,7
169,,,O,,X,,,O,X,X,2,3
170,,,O,X,X,,,O,X,O,0,0
171,O,,O,X,X,,,O,X,X,2,1
172,O,X,O,X,X,,,O,X,O,0,6
173,O,X,O,X,X,,O,O,X,X,2,5
174,,,,,,,,,,X,2,5
175,,,,,,X,,,,O,0,3
176,,,,O,,X,,,,X,2,1
177,,X,,O,,X,,,,O,0,6
178,,X,,O,,X,O,,,X,2,2
179,,X,X,O,,X,O,,,O,0,7
180,,X,X,O,,X,O,O,,X,2,8
181,,,,,,,,,,X,1,7
182,,,,,,,,X,,O,1,6
183,,,,,,,O,X,,X,1,5
184,,,,,,X,O,X,,O,1,0
185,O,,,,,X,O,X,,X,1,8
186,O,,,,,X,O,X,X,O,1,2
187,O,,O,,,X,O,X,X,X,1,3
188,O,,O,X,,X,O,X,X,O,1,4
189,O,,O,X,O,X,O,X,X,X,1,1
190,,,,,,,,,,X,2,1
191,,X,,,,,,,,O,0,8
192,,X,,,,,,,O,X,2,2
193,,X,X,,,,,,O,O,0,3
194,,X,X,O,,,,,O,X,2,4
195,,X,X,O,X,,,,O,O,0,7
